name,actualFunctions,embeddedFunctions,functionalCategories,keyIngredientTypes,isKeyIngredient,suitableForSkinTypes,addressesConcerns,providedBenefits,usageInstructions,pregnancySafe,sensitivities,alcoholFree,fragranceFree,siliconeFree,sulfateFree,parabenFree,explanation,benefit,safety,alternativeNames,whatItDoes,url
Squalane,"Emollient, Skin Conditioning, Soothing","Emollient, Skin Conditioning","Moisturizing, Treatment",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Soothing, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Sqalane adalah emolien yang membantu kulit menAHAn kelembaban. Ini adalah cairan berminyak yang terjadi secara alami pada jenis ikan dan minyak tanaman tertentu. Karena sqalane meningkatkan hidrasi di kulit, ia juga dilengkapi dengan banyak manfaat: ini adalah antioksidan dan dapat membantu melawan radikal bebas dan kerusakan kulit. Sqalane juga ditemukan memiliki efek detoksifikasi ketika diterapkan. Squale berasal dari Squalene, yang terjadi secara alami di dalam sebum kulit kita. Ini adalah salah satu minyak yang dihasilkan kulit kita agar tetap terhidrasi. Sqalane adalah versi terhidrogenasi squalene dan memiliki umur simpan yang lebih lama.",,"It does a great job at hydrating the skin, and it's suitable for those with sensitive skin Some exclude all oils, while others just avoid mineral oil or comedogenic oils While some people avoid oils thinking they cause breakouts, the right kind of oil (or oil-like ingredient like squalane) can actually help balance and hydrate your skin","Olive Squalane, Prevalence, Somewhat common, Percentage of products that contain it, SQUALANE",EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/squalane
Azelaic Acid,"Buffering, Masking","Masking, Buffering","Formulation, Sensory",Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Asam azelaic adalah asam yang terjadi secara alami yang berasal dari biji -bijian. BAHAn ini efektif dalam mengobati jerawat, rosacea, dan kondisi kulit lainnya. Telah terbukti mengurangi pertumbuhan bakteri penyebab jerawat dan membantu mengurangi peradangan. Selain itu, ini membantu mengurangi produksi sebum dan pori -pori unclog. Azelaic Acid juga memiliki sifat antioksidan. Antioksidan melindungi sel-sel kulit kita dari kerusakan radikal bebas. Salah satu manfaat utama asam azelaic adalah bahwa itu lembut dan ditoleransi dengan baik oleh kebanyakan orang. Fakta yang lebih baik: Bentuk asam azelaic yang diciptakan laboratorium biasanya digunakan dalam PR kosmetik PR kosmetik PR kosmetik kosmetik kosmetik kosmetik PR kosmetik kosmetik kosmetik kosmetik PR kosmetik kosmetik kosmetik kosmetik kosmetik PR kosmetik kosmetik kosmetik kosmetik kosmetik PR kosmetik kosmetik kosmetik kosmetik kosmetik kosmetik PR kosmetik kosmetik kosmetik kosmetik kosmetik PR kosmetik Kosmetik Kosmetik Kosmetik Kosmetik Kosmetik Cosmetic",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person See all 524 products with Azelaic Acid Users who like it 99% Users who avoid it 1% What it does Masking Obscuring or blocking Buffering Buffering ingredients help stabilise or adjust the ph level of a product","AZELAIC ACID, 204-669-1, All Functions, Buffering",MaskingObscuring or blockingBufferingBuffering ingredients help stabilise or adjust the ph level of a product.,https://skinsort.com/ingredients/azelaic-acid
Ascorbic Acid,"Buffering, Skin Conditioning, Antioxidant, Masking","Masking, Skin Conditioning, Antioxidant","Moisturizing, Protective, Formulation, Sensory","Vitamin C, Antioxidants",Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Protecting, Brightening, Anti-aging, Barrier Repair","Morning use preferred, Use on clean skin",Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Asam askorbat adalah vitamin murni C. Bentuk ini merupakan jumlah vitamin C terbesar yang ditemukan secara alami di kulit kita. Tidak hanya vitamin C yang bagus untuk kesehatan dan sistem kekebalan tubuh Anda secara keseluruhan, ia juga memiliki banyak manfaat pada kulit Anda. Vitamin C paling baik digunakan untuk mencerahkan kulit. Ini meningkatkan bintik -bintik gelap, bekas jerawat, dan hiperpigmentasi. Ini karena memblokir proses pencurian kulit saat terpapar UV. Kolagen adalah salah satu komponen kunci dalam memiliki penghalang kulit yang kuat dan kulit montok. Vitamin C juga bermain...",,"See all 3,465 products with Ascorbic Acid Users who like it 94% Users who avoid it 6% What it does Masking Obscuring or blocking Skin Conditioning To hydrate and soften skin Antioxidant A substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation","Vitamin CL-Ascorbic Acid, Vitamin C, L-Ascorbic Acid, Prevalence, Uncommon","MaskingObscuring or blockingSkin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.BufferingBuffering ingredients help stabilise or ...",https://skinsort.com/ingredients/ascorbic-acid
Tretinoin,Skin Conditioning,Skin Conditioning,Moisturizing,Others,Yes,"Dry,  Normal",Dryness,"Hydrating, Anti-aging, Barrier Repair","Evening use recommended, Start 1-2x per week, Always use SPF",Avoid during pregnancy,,Yes,Yes,Yes,Yes,Yes,"Tretinoin adalah retinoid terbaik karena manfaat kulitnya yang terbukti. Ini hanya tersedia dengan resep di banyak negara. Semua retinoid melewati jalur konversi sampai bisa menjadi efektif. Langkah terakhir konversi adalah asam retinoat; Asam retinoat adalah tretinoin. Inilah mengapa tretinoin sangat efektif; Ini akan segera bekerja pada kulit. Penelitian pada tretinoin telah menemukan itu sangat efektif untuk mengurangi tanda -tanda penuaan. Ini membantu meningkatkan kerusakan akibat sinar matAHAri, bahkan warna kulit, dan kerutan yang halus. Ini juga merupakan perawatan jerawat yang efektif dengan mengurangi dan menyeimbangkan sebu...",,"Because rosacea-prone skin can be especially reactive, it’s best to approach new products with caution Those with sensitive skin should consult a professional about using tretinoin See all 152 products with Tretinoin Users who like it 97% Users who avoid it 3% What it does Skin Conditioning To hydrate and soften skin Alternative names All-Trans-Retinoic Acid Retinoic Acid Prevalence Less common Pe...","All-Trans-Retinoic AcidRetinoic Acid, All-Trans-Retinoic Acid, Retinoic Acid, Prevalence, Less common",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/tretinoin
Lactic Acid,"Buffering, Skin Conditioning, Humectant","Humectant, Skin Conditioning, Buffering","Moisturizing, Formulation",AHA,Yes,"Dry,  Normal",Dryness,"Hydrating, Exfoliating, Barrier Repair, Texture Improvement","Evening use recommended, Start 2-3x per week, Always use SPF",Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Asam laktat adalah AHA yang berasal dari fermentasi laktosa, karbohidrat dari susu. Ini menghilangkan lapisan atas sel -sel kulit tua dan mati dan membantu meningkatkan pergantian sel. TAHAn asam laktat adalah bahwa ia dapat membantu mengurangi pori -pori besar dan mengurangi efek penuaan. Beberapa potensi kerugian adalah bahwa itu bisa buruk bagi kulit kering, menyebabkan iritasi, memperburuk eksim, dan memperburuk rosacea. Tidak hanya membantu mengelupas kulit, ini membantu memperkuat penghalang kulit. Saat diaplikasikan, asam laktat membantu kulit membuat Ceramides. Asam laktat adalah pengelupasan kimia yang dijual bebas yang berasal dari...",,"Because rosacea-prone skin can be especially reactive, it’s best to approach new products with caution Read more about some other popular AHA's here: Glycolic Acid Citric Acid Malic Acid See all 6,387 products with Lactic Acid Users who like it 94% Users who avoid it 6% What it does Humectant A substance that promotes retention of moisture","LACTIC ACID, lactic acid, 200-018-0",HumectantA substance that promotes retention of moisture.Skin ConditioningTo hydrate and soften skinBufferingBuffering ingredients help stabilise or adjust the ph level of a product.,https://skinsort.com/ingredients/lactic-acid
"Sodium Hyaluronate8.3K470Humectant, Skin Conditioning","Skin Conditioning, Humectant",,Moisturizing,Hyaluronic Acid,Yes,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Bentuk garam asam ishyaluronic natrium hyaluronate. Biasanya berasal dari garam natrium asam hialuronat. Ini membuatnya menjadi bAHAn pelembab kulit yang bagus. Sodium hyaluronate secara alami terjadi di tubuh kita dan sebagian besar ditemukan dalam cairan mata dan sendi. Ini adalah beberapa jenis asam hyaluronon hyaluronat crosspolymer hyaluronic hyaluronic crosspolyryat hyaluronic hyaluronic.,,"These are some other common types of Hyaluronic Acid: Hyaluronic Acid Hydrolyzed Hyaluronic Acid Sodium Hyaluronate Crosspolymer See all 22,079 products with Sodium Hyaluronate Comedogenic Rating 0 Irritancy Rating 0 Users who like it 95% Users who avoid it 5% What it does Humectant A substance that promotes retention of moisture","Hyaluronic SodiumHyaluronic Salt, Hyaluronic Sodium, Hyaluronic Salt, Prevalence, Somewhat common",HumectantA substance that promotes retention of moisture.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/sodium-hyaluronate
Benzoyl Peroxide3.1K7.5KOxidising,,,,Others,No,Normal,Acne,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Benzoil peroksida terkenal karena melawan jerawat. Ini karena ia melakukan berbagai tugas pada kulit: membantu mengurangi kelebihan minyak, membunuh bakteri, dan membersihkan sel -sel kulit mati. Dengan kata lain, ini efektif di pori -pori yang tidak menyumbat. Sifat -sifat ini membuatnya hebat dalam memerangi berbagai jenis jerawat, termasuk jenis jerawat kistik dan radang. Ketika menargetkan bakteri di pori -pori Anda, benzoil peroksida telah terbukti membunuh bakteri tanpa menyebabkan sensitivitas. Ini juga membantu menjaga bakteri alami kulit Anda dan bioma seimbang. Memiliki bioma yang sehat melindungi kulit Anda dari berbAHAya eksternal...",,"Can worsen Dry Skin Can worsen Dry Skin Some ingredients have the potential to dry out skin, especially in higher concentrations or for those with already dry or sensitive skin Because rosacea-prone skin can be especially reactive, it’s best to approach new products with caution See all 168 products with Benzoyl Peroxide Users who like it 29% Users who avoid it 71% Alternative names Bpo Prevalence...","Bpo, Prevalence, Less common, Percentage of products that contain it, BENZOYL PEROXIDE","Benzoyl Peroxide is famous for fighting acne. This is because it does a variety of tasks on the skin: it helps reduce excess oil, kill bacteria, and clear out dead skin cells. In other words, it is ef",https://skinsort.com/ingredients/benzoyl-peroxide
Ceramide NP,Skin Conditioning,Skin Conditioning,Moisturizing,Ceramides,Yes,"Dry,  Normal","Dryness, Sensitivity","Hydrating, Softening, Barrier Repair",,Generally safe,,Yes,Yes,Yes,Yes,Yes,"Ceramide NP adalah jenis Ceramide. Beramida adalah lipid antar sel yang ditemukan secara alami di kulit kita yang mengikat sel kulit mati bersama -sama untuk menciptakan penghalang. Mereka dikenal karena kemampuan mereka menAHAn air dan dengan demikian merupakan bAHAn yang bagus untuk kulit kering. Beramida adalah blok bangunan penting untuk penghalang kulit kita. Penghalang yang lebih kuat membantu kulit terlihat lebih kuat dan terhidrasi. Dengan memperkuat kulit Ceramides bertindak sebagai penghalang terhadap bAHAn -bAHAn yang mengiritasi. Ini dapat membantu dengan peradangan juga. Jika Anda ingin makan Ceramides, ubi jalar mengandung sejumlah kecil. Baca lebih lanjut tentang ty umum lainnya...",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person Read more about other common types of ceramides here: Ceramide AP Ceramide EOP See all 5,824 products with Ceramide NP Users who like it 96% Users who avoid it 4% What it does Skin Conditioning To hydrate and soften skin Alternative names 2-Octadecanamide Stearoyl-C18-Phyto...","2-OctadecanamideStearoyl-C18-PhytosphingosineStearoyl-4-Hydroxysphinganine, 2-Octadecanamide, Stearoyl-C18-Phytosphingosine, Stearoyl-4-Hydroxysphinganine, Prevalence",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/ceramide-np
Ceramide AP2.2K58Skin Conditioning,Skin Conditioning,,Moisturizing,Ceramides,Yes,"Dry,  Normal","Dryness, Sensitivity","Hydrating, Softening, Barrier Repair",,Generally safe,,Yes,Yes,Yes,Yes,Yes,"Ceramide AP adalah jenis Ceramide. Beramida adalah lipid antar sel yang ditemukan secara alami di kulit kita yang mengikat sel kulit mati bersama -sama untuk menciptakan penghalang. Memiliki penghalang kulit yang kuat mengarah pada kulit yang lebih kuat dan terhidrasi. Mereka dikenal karena kemampuannya untuk menAHAn air dan dengan demikian merupakan bAHAn yang bagus untuk kulit kering. Dengan memperkuat kulit Ceramides bertindak sebagai penghalang terhadap bAHAn -bAHAn yang mengiritasi. Ini dapat membantu dengan peradangan juga. Jika Anda ingin makan Ceramides, ubi jalar mengandung sejumlah kecil. Baca lebih lanjut tentang jenis Ceramides umum lainnya di sini: Ceramide npCeramide EOP",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person Read more about other common types of ceramides here: Ceramide NP Ceramide EOP See all 2,702 products with Ceramide AP Users who like it 97% Users who avoid it 3% What it does Skin Conditioning To hydrate and soften skin Alternative names 1 3 4-Octadecanetriol Prevalence Un...","134-Octadecanetriol, 4-Octadecanetriol, Prevalence, Uncommon, Percentage of products that contain it",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/ceramide-ap
"Camellia Sinensis Leaf Extract1.8K78Antimicrobial, Astringent, Emollient","Astringent, Skin Protecting, Skin Conditioning, Humectant, Antimicrobial, Emollient, Antioxidant, Tonic, Soothing, Masking",,"Moisturizing, Protective, Cleansing, Treatment, Sensory, Specialized",Others,No,"Dry,  Normal,  Oily,  Combination","Acne, Aging, Dryness, Sensitivity, Large Pores, Oiliness, Redness","Hydrating, Protecting, Cleansing, Soothing, Anti-aging, Softening, Pore Minimizing, Oil Control, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Ekstrak daun Camellia sinensis berasal dari daun tanaman teh. Teh hitam, teh hijau, dan teh oolong semuanya dipanen dari tanaman ini. BAHAn ini memiliki banyak manfaat kulit: antimicrobialixidantskin hydratingskin yang melindungi bAHAn ini mengandung polifenol, antioksidan yang kuat. Antioksidan membantu melawan molekul yang merusak sel kulit. Di atasnya, antioksidan dalam teh hijau menetralkan radikal bebas dari matAHAri. Ini memberi kulit beberapa perlindungan UV tambAHAn, tetapi tidak boleh menggantikan tabir surya. Komponen teh banyak memiliki sifat anti-inflamasi. PolypHenols dan L-T...",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person See all 7,072 products with Camellia Sinensis Leaf Extract Users who like it 96% Users who avoid it 4% What it does Antimicrobial Capable of destroying or inhibiting the growth of microorganisms Astringent Tending to draw together or constrict tissues, styptic","Green TeaOolong TeaWhite Tea, Green Tea, Oolong Tea, White Tea, Prevalence","AntimicrobialCapable of destroying or inhibiting the growth of microorganismsAstringentTending to draw together or constrict tissues, styptic. may unclog pores, remove excess oil, shrink appearance of pores, tighten skin, cleanse irritants from skin, reduce inflammation, reduce acne, provide anti-ba...",https://skinsort.com/ingredients/camellia-sinensis-leaf-extract
"BHA1.8K480Masking, Antioxidant","Antioxidant, Masking",,"Protective, Sensory",Others,No,Normal,Aging,"Protecting, Anti-aging",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"BHA ini berdiri forbutylated hydroxyanisole. Jika Anda mencari asam beta-hydroxy, alias sebagai asam salisilat, klik di sini. Dalam kosmetik, hydroxyanisole butylated digunakan sebagai orang yang tegas. Ini juga memiliki sifat antioksidan. Konsentrasi yang biasanya digunakan dalam perawatan kulit rendah dan tidak menembus kulit. Ini hanya dianggap sebagai karsinogen ketika dicerna. Hydroxyanisole bermutilasi adalah petrokimia sintetis dan lilin. Ini digunakan sebagai pengawet dalam makanan dan kosmetik.",,"See all 264 products with BHA Users who like it 79% Users who avoid it 21% What it does Masking Obscuring or blocking Antioxidant A substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation","Butylated Hydroxyanisole, as Salicylic Acid, click here, Prevalence, Less common","MaskingObscuring or blockingAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.",https://skinsort.com/ingredients/bha
"Allantoin1.7K36Skin Conditioning, Skin Protecting, Soothing","Skin Protecting, Skin Conditioning, Soothing",,"Moisturizing, Protective, Treatment",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Protecting, Soothing, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Allantoin berperan dalam menenangkan dan melembabkan kulit. Karena itu, sering ditambahkan ke produk dengan bAHAn aktif yang kuat. Beberapa studi telah menunjukkan bAHAn ini dapat meningkatkan penyembuhan luka dengan konsentrasi yang lebih tinggi. Alallantoin berasal dari tanaman comfrey tetapi diproduksi secara sintetis untuk produk kosmetik untuk memastikan kemurnian.",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person See all 10,399 products with Allantoin Comedogenic Rating 0 Irritancy Rating 0 Users who like it 98% Users who avoid it 2% What it does Skin Conditioning To hydrate and soften skin Skin Protecting To keep skin from being damaged to a certain degree Soothing Having a calming...","ALLANTOIN, allantoin, 202-592-8","Skin ConditioningTo hydrate and soften skinSkin ProtectingTo keep skin from being damaged to a certain degreeSoothingHaving a calming, assuaging, or relieving effect",https://skinsort.com/ingredients/allantoin
"Tocopherol1.7K730Masking, Skin Conditioning, Antioxidant","Skin Conditioning, Antioxidant, Masking",,"Moisturizing, Protective, Sensory","Vitamin E, Antioxidants",Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Protecting, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"TocopHerol (juga dikenal sebagai vitamin E) adalah antioksidan umum yang digunakan untuk membantu melindungi kulit dari radikal bebas dan memperkuat penghalang kulit. Ini juga larut dalam lemak - ini berarti kulit kita bagus untuk menyerapnya. Vitamin E juga membantu menjaga lipid kulit alami Anda tetap sehat. Penghalang kulit lipid Anda secara alami terdiri dari lipid, Ceramides, dan asam lemak. Vitamin E menawarkan perlindungan ekstra untuk penghalang lipid kulit Anda, menjaga kulit Anda tetap sehat dan bergizi. Manfaat lain adalah sedikit perlindungan UV. Vitamin E membantu mengurangi kerusakan yang disebabkan oleh sinar UVB. (Seharusnya tidak menggantikan tabir surya Anda). Sisir...",,"See all 28,664 products with Tocopherol Comedogenic Rating 0-3 Irritancy Rating 0-3 Users who like it 69% Users who avoid it 31% What it does Masking Obscuring or blocking Skin Conditioning To hydrate and soften skin Antioxidant A substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation","Vitamin E, Prevalence, Common, Percentage of products that contain it, TOCOPHEROL","MaskingObscuring or blockingSkin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.",https://skinsort.com/ingredients/tocopherol
Snail Secretion Filtrate1.5K600Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Filtrat sekresi siput adalah ekskresi dari siput. Ini adalah pelembab yang efektif dan mempromosikan produksi kolagen. Nama panggilan populer untuk bAHAn ini adalah 'siput musin'.snail Mucin memiliki banyak manfaat kulit: ia memperbaiki penghalang kulit yang dihidrasi kulitnya untuk membuat vitamin yang lebih besar. mineral. Ini termasuk peptida tembaga, vitamin A, dan vitamin E. Vitamin A dan E adalah antioksidan. Antioksidan membantu melawan radikal bebas bendungan itu...",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person See all 498 products with Snail Secretion Filtrate Users who like it 72% Users who avoid it 28% What it does Skin Conditioning To hydrate and soften skin Alternative names Snail Mucin Ssf Prevalence Less common Percentage of products that contain it 0","Snail MucinSsf, Snail Mucin, Ssf, Prevalence, Less common",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/snail-secretion-filtrate
"Tranexamic Acid1.3K45Astringent, Skin Conditioning","Astringent, Skin Conditioning",,"Moisturizing, Specialized",Others,No,"Dry,  Normal,  Oily","Acne, Dryness, Large Pores, Oiliness","Hydrating, Pore Minimizing, Oil Control, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Asam traneksamat paling baik digunakan untuk mengobati hiperpigmentasi, perubAHAn warna, dan melasma. Ini juga dapat membantu membangun penghalang kulit yang lebih kuat. Satu -satunya yang diterapkan, asam traneksamat mulai mengurangi peradangan dari paparan UV. Asam traneksamat juga mencegah sel -sel kulit kita untuk memenuhi sel produksi pigmen. Properti mencerahkannya membuatnya hebat dalam mengurangi penampilan bekas jerawat dan tanda.",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person See all 810 products with Tranexamic Acid Users who like it 97% Users who avoid it 3% What it does Astringent Tending to draw together or constrict tissues, styptic","Txa, Prevalence, Less common, Percentage of products that contain it, TRANEXAMIC ACID","AstringentTending to draw together or constrict tissues, styptic. may unclog pores, remove excess oil, shrink appearance of pores, tighten skin, cleanse irritants from skin, reduce inflammation, reduce acne, provide anti-bacterial benefitsSkin ConditioningTo hydrate and soften skin",https://skinsort.com/ingredients/tranexamic-acid
"Citric Acid1.2K6.8KMasking, Buffering","Buffering, Masking",,"Formulation, Sensory",AHA,Yes,Normal,,"Exfoliating, Texture Improvement","Evening use recommended, Start 2-3x per week, Always use SPF",Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Asam sitrat adalah AHA yang berasal dari buah jeruk (pikirkan jeruk, lemon, dan limau!). Sebagai AHA, asam sitrat menghilangkan lapisan atas sel -sel kulit dari lapisan kulit yang lebih baru di bawahnya. Ini membantu kulit untuk menghilangkan bintik -bintik gelap dan bahkan keluar dari warna kulit. Jika Anda melihat asam sitrat di dekat akhir daftar bAHAn, kemungkinan ada sebagai adjuster pH daripada bAHAn aktif. Baca lebih banyak tentang beberapa AHA populer lainnya di sini: asam asam glikolat asam glikolat asam asam glikolatik asam glikolatik glikolatik asam glikolatik glikolatik glikolatik glikolatik glikolatik glikolatik glikolatik glikolatik glikolatcicic acidmalic acidmalic glycolic",,"Because rosacea-prone skin can be especially reactive, it’s best to approach new products with caution Read more about some other popular AHA's here: Glycolic Acid Lactic Acid Malic Acid Mandelic Acid See all 24,331 products with Citric Acid Users who like it 15% Users who avoid it 85% What it does Masking Obscuring or blocking Buffering Buffering ingredients help stabilise or adjust the ph level ...","CITRIC ACID, citric acid, 201-069-1",MaskingObscuring or blockingBufferingBuffering ingredients help stabilise or adjust the ph level of a product.,https://skinsort.com/ingredients/citric-acid
"Alpha-Arbutin1.2K77Bleaching, Skin Conditioning, Antioxidant","Skin Conditioning, Antioxidant",,"Moisturizing, Protective",Others,No,"Dry,  Normal","Aging, Dryness, Hyperpigmentation","Hydrating, Protecting, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"AlpHA-arbutin dibuat dari Hydroquinoneandglucose. Ini juga dapat berasal dari fermentasi kedelai. BAHAn ini antioksidan, yang berarti membantu melindungi sel-sel kulit Anda dari kerusakan. Studi menunjukkan bAHAn ini membantu meningkatkan hiperpigmentasi dan memudar perubAHAn warna. AlpHA-arbutin dapat digunakan dengan bAHAn lain yang membantu dengan hiperpigmentasi. BAHAn -bAHAn ini termasuk asam, vitamin C, Niacinamide, dan asam traneksamat.",,"See all 615 products with Alpha-Arbutin Users who like it 94% Users who avoid it 6% What it does Bleaching To remove the color from, to lighten Skin Conditioning To hydrate and soften skin Antioxidant A substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation","ALPHA-ARBUTIN, 283-934-3, All Functions, Antioxidant","BleachingTo remove the color from, to lightenSkin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.",https://skinsort.com/ingredients/alpha-arbutin
Copper Tripeptide-11.2K23Skin Conditioning,Skin Conditioning,,Moisturizing,Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Tembaga tripeptide-1 adalah peptida yang secara alami ditemukan dalam cairan tubuh. Peptida adalah blok bangunan untuk protein. Studi menunjukkan bAHAn ini memberitahu tubuh kita untuk menciptakan lebih banyak kolagen dan elastin. Kolagen adalah protein yang membuat jaringan ikat. Elastin adalah protein yang bertanggung jawab untuk memberikan elastisitas kulit kita. Tubuh kita mulai memperlambat kolagen dan produksi elastin dengan usia. Kolagen dan produksi elastin dapat membantu menciptakan penghalang kulit yang lebih sehat. Memiliki penghalang kulit yang sehat berarti memiliki kulit yang kuat dan terhidrasi. Ini adalah situasi win-win! BAHAn ini membantu penyembuhan bekas luka. Ini...,,"Read more about other common types of peptides here: Palmitoyl Tetrapeptide-7 Palmitoyl Tripeptide-1 Acetyl Hexapeptide-8 See all 1,279 products with Copper Tripeptide-1 Users who like it 98% Users who avoid it 2% What it does Skin Conditioning To hydrate and soften skin Alternative names Ghk-Cu Glycyl-L-Histidyl-L-Lysine Ghk Prevalence Uncommon Percentage of products that contain it 1","Ghk-CuGlycyl-L-Histidyl-L-LysineGhk, Ghk-Cu, Glycyl-L-Histidyl-L-Lysine, Ghk, Prevalence",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/copper-tripeptide-1
Retinal1.1K150Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Retina adalah bentuk retinoid. retinoid adalah kelas standar bAHAn anti-penuaan. Beberapa retinoid mengambil beberapa langkah konversi sebelum mengikat. Retina hanya satu langkah jauhnya, membuatnya lebih kuat. Seperti retinoid lainnya, retina mungkin menjengkelkan...",,"Because rosacea-prone skin can be especially reactive, it’s best to approach new products with caution See all 304 products with Retinal Users who like it 88% Users who avoid it 12% What it does Skin Conditioning To hydrate and soften skin Alternative names Retinaldehyde Prevalence Less common Percentage of products that contain it 0","Retinaldehyde, Prevalence, Less common, Percentage of products that contain it, RETINAL",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/retinal
Aloe Barbadensis Leaf Juice1.1K210Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Jus daun aloe barbadensis berasal dari daun tanaman lidah buaya. Jus daun lidah buaya paling dikenal karena membantu menenangkan sinar matAHAri. Ini juga anti-inflamasi, pelembab, antiseptik, dan dapat membantu menyembuhkan luka. Aloe dikemas dengan barang-barang bagus termasuk vitaminsa, C, Ande. Vitamin ini adalah antioksidan, yang membantu melawan radikal bebas dan kerusakan yang mereka sebabkan. Radikal bebas adalah molekul yang dapat merusak sel kulit Anda, seperti polusi. Jus daun barbadensis juga mengandung gula. Gula ini datang dalam bentuk monosakarida dan polisakarida, asam folat, dan kolin. T...",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person See all 7,488 products with Aloe Barbadensis Leaf Juice Users who like it 84% Users who avoid it 16% What it does Skin Conditioning To hydrate and soften skin Alternative names Aloe Vera Aloe Vera Leaf Aloe Vera 100x Prevalence Somewhat common Percentage of products that co...","Aloe VeraAloe Vera LeafAloe Vera 100x, Aloe Vera, Aloe Vera Leaf, Aloe Vera 100x, Prevalence",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/aloe-barbadensis-leaf-juice
